Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
 ,7519533.026,4695411.82,632.59,2,1,3,1
2,7519521.58,4695417.864,634.399,2,1,3,1
3,7519512.918,4695422.509,635.491,2,1,3,1
4,7519519.458,4695432.632,635.209,2,1,3,1
6,7519523.329,4695429.784,635.1,2,1,3,1
5,7519524.034,4695430.827,634.993,2,1,3,1
2497,7519531.756,4695448.493,634.436,2,1,3,1
2498,7519494.736,4695462.314,637.909,2,1,3,1
2499,7519486.765,4695436.705,638.103,2,1,3,1
2500,7519481.674,4695418.926,638.352,2,1,3,1
10246,7519510.564,4695418.175,636.007,2,1,3,1
10247,7519521.594,4695407.445,634.869,2,1,3,1
10248,7519528.884,4695402.765,632.477,2,1,3,1
10251,7519523.275,4695436.204,635.058,2,1,3,1
10252,7519524.335,4695428.694,634.827,2,1,3,1
10253,7519537.085,4695420.694,632.857,2,1,3,1
